label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
A,0.15254950523376465,-0.1353924423456192,-0.34253761172294617,-0.4477328360080719,-0.4779561161994934,-0.13696402311325073,-0.17672057449817657,-0.2704119086265564,-0.34168508648872375,0.057163041085004807,-0.014768075197935104,-0.09792423248291016,-0.12500520050525665,0.26347628235816956,0.22466512024402618,0.12253867089748383,0.07602469623088837,0.48157814145088196,0.48811808228492737,0.3871963322162628,0.3137846291065216,1.0,0.8097301125526428,0.45005351305007935,0.10085557401180267,-0.21844354271888733,-0.040651921182870865,-0.5095055103302002,-0.43767547607421875,-0.24072739481925964,-0.03589264303445816,-0.4153166115283966,-0.1055452972650528,0.21282902359962463,0.012695543467998505,-0.4034178853034973,-0.13705962896347046,0.16607487201690674,0.09911462664604187,-0.2512573301792145,-0.13259243965148926,0.07673368602991104,-3.0437811346928356e-06,-0.11715322732925415,-0.19579926133155823,-0.2905403971672058,-0.3685932457447052,-0.03459122031927109,-0.1925957351922989,-0.2918768525123596,-0.3316977322101593,-0.048055972903966904,-0.2396337389945984,-0.3272351026535034,-0.34093916416168213,-0.08875789493322372,-0.26381611824035645,-0.28153055906295776,-0.24370701611042023,-0.14039857685565948,-0.26198622584342957,-0.26576071977615356,-0.23377855122089386
A,0.18375855684280396,-0.11286864429712296,-0.3270179033279419,-0.41716232895851135,-0.4370887875556946,-0.12491318583488464,-0.16889235377311707,-0.26376140117645264,-0.34434884786605835,0.05620546638965607,-0.01460418663918972,-0.0968305692076683,-0.12035497277975082,0.2509636878967285,0.21167665719985962,0.10835744440555573,0.06766501814126968,0.46309664845466614,0.4613629877567291,0.35005155205726624,0.274700403213501,1.0,0.7921167016029358,0.4520685076713562,0.11988610774278641,-0.19416505098342896,-0.00751760508865118,-0.4438284933567047,-0.4103979170322418,-0.2584492266178131,-0.017923502251505852,-0.4117107093334198,-0.1455385386943817,0.14247417449951172,0.017978673800826073,-0.39842689037323,-0.15405862033367157,0.13113373517990112,0.0954626053571701,-0.25172653794288635,-0.13338425755500793,0.07600284367799759,-2.869824356821482e-06,-0.1224622130393982,-0.20423004031181335,-0.2995872497558594,-0.3786233961582184,-0.03549846634268761,-0.19210198521614075,-0.2942078709602356,-0.33835503458976746,-0.049000974744558334,-0.23335522413253784,-0.3214513957500458,-0.34154924750328064,-0.09083593636751175,-0.2636999785900116,-0.28574103116989136,-0.25602835416793823,-0.14450474083423615,-0.2644574046134949,-0.2697765827178955,-0.24375595152378082
A,0.22902613878250122,-0.05646678805351257,-0.25868427753448486,-0.3582911491394043,-0.3730275332927704,-0.07717172056436539,-0.14046747982501984,-0.2606758177280426,-0.3464619219303131,0.0819348394870758,-0.01562553085386753,-0.12496130168437958,-0.15123844146728516,0.24970686435699463,0.17809568345546722,0.052615247666835785,0.009456351399421692,0.44232186675071716,0.42462271451950073,0.29571986198425293,0.19957348704338074,1.0,0.8155904412269592,0.46916452050209045,0.14831580221652985,-0.16139663755893707,0.04146270081400871,-0.3656870424747467,-0.35842251777648926,-0.24482561647891998,0.011464947834610939,-0.3811449706554413,-0.1356254667043686,0.14494143426418304,0.01298489049077034,-0.38835135102272034,-0.185806542634964,0.11323148757219315,0.0637778714299202,-0.29541558027267456,-0.2511617839336395,-0.05309480428695679,-2.678618557183654e-06,-0.15812300145626068,-0.2473640888929367,-0.3456127643585205,-0.42746761441230774,-0.044783830642700195,-0.20133908092975616,-0.3144318461418152,-0.3706034719944,-0.03730984404683113,-0.2290521115064621,-0.3482761085033417,-0.3926493525505066,-0.06045730784535408,-0.23462361097335815,-0.311012864112854,-0.32074981927871704,-0.09824388474225998,-0.21485473215579987,-0.26240599155426025,-0.2744405269622803
A,0.20904771983623505,-0.08100949972867966,-0.29747191071510315,-0.39434826374053955,-0.3635841906070709,-0.09249464422464371,-0.13999181985855103,-0.2651004493236542,-0.35035160183906555,0.06917528063058853,0.003272630274295807,-0.12253760546445847,-0.16906648874282837,0.2431648075580597,0.20735299587249756,0.06553279608488083,-0.0037931676488369703,0.43927544355392456,0.46318575739860535,0.3459241986274719,0.2338182032108307,1.0,0.8667920231819153,0.5576890110969543,0.23464231193065643,-0.0786634162068367,0.06247036159038544,-0.3813013434410095,-0.3229145407676697,-0.136544331908226,0.030930694192647934,-0.4054687023162842,-0.2000713348388672,0.086036816239357,0.04285508766770363,-0.4045233726501465,-0.24534821510314941,0.03864318132400513,0.099540576338768,-0.28604552149772644,-0.33857259154319763,-0.22014635801315308,-2.7233991204411723e-06,-0.14654889702796936,-0.23845134675502777,-0.3421408534049988,-0.4273127019405365,-0.054589420557022095,-0.22126030921936035,-0.3350347876548767,-0.3846176266670227,-0.05117948725819588,-0.23654980957508087,-0.34998905658721924,-0.38868027925491333,-0.07827096432447433,-0.24014906585216522,-0.3118745684623718,-0.3165348172187805,-0.11880352348089218,-0.21677963435649872,-0.26215505599975586,-0.2720542550086975
A,0.143033966422081,-0.13603459298610687,-0.33226025104522705,-0.39755064249038696,-0.30781522393226624,-0.10092224180698395,-0.1204618290066719,-0.23815834522247314,-0.3247101902961731,0.07168703526258469,0.017753399908542633,-0.12106044590473175,-0.17818473279476166,0.25187161564826965,0.21070420742034912,0.05756964907050133,-0.01674729585647583,0.45064565539360046,0.46991056203842163,0.35356807708740234,0.24716100096702576,1.0,0.8631038069725037,0.4928714632987976,0.1377267837524414,-0.12862065434455872,0.049329858273267746,-0.359126478433609,-0.3432614505290985,-0.1887291967868805,0.03186706826090813,-0.37881550192832947,-0.1999737173318863,0.08642398566007614,0.061984337866306305,-0.35507917404174805,-0.22778435051441193,0.037128183990716934,0.13559545576572418,-0.24202857911586761,-0.2968142330646515,-0.17580059170722961,-2.816161895680125e-06,-0.10615429282188416,-0.16537684202194214,-0.24223318696022034,-0.30467304587364197,0.00967312976717949,-0.13378208875656128,-0.2331550419330597,-0.27596545219421387,0.00031924917129799724,-0.17202511429786682,-0.27788886427879333,-0.3064624071121216,-0.03738062083721161,-0.1933717429637909,-0.2622336149215698,-0.2599843144416809,-0.08450936526060104,-0.18215078115463257,-0.22350557148456573,-0.2256699800491333
A,0.2127433866262436,-0.3019830584526062,-0.7421228289604187,-0.9686151742935181,-1.0,-0.6155233979225159,-0.6067485809326172,-0.568766176700592,-0.5839272737503052,-0.07145735621452332,-0.05471770465373993,-0.05266331881284714,-0.10346613824367523,0.45341989398002625,0.4415615200996399,0.457688570022583,0.416340708732605,0.9198126792907715,0.9617871046066284,0.9274538159370422,0.8791937828063965,0.048302702605724335,0.0751609206199646,-0.10612791031599045,-0.3219456970691681,-0.5992538928985596,-0.9512341618537903,-0.0811232179403305,0.4032483994960785,0.47684818506240845,-0.956177294254303,0.08986056596040726,0.6149822473526001,0.7223706841468811,-0.8214648962020874,0.0832643061876297,0.5164597034454346,0.6250019073486328,-0.6034506559371948,-0.00915389321744442,0.33876898884773254,0.455663800239563,-7.1195072450791486e-06,-0.24799568951129913,-0.41620323061943054,-0.5603395700454712,-0.6830213069915771,-0.40281760692596436,-0.6353869438171387,-0.759652853012085,-0.833213210105896,-0.43025773763656616,-0.6546078324317932,-0.714455246925354,-0.7431802749633789,-0.46811676025390625,-0.730524480342865,-0.6898995637893677,-0.62703937292099,-0.5226755738258362,-0.7128944396972656,-0.6477485299110413,-0.5563327670097351
A,0.11422663182020187,-0.2578783929347992,-0.6304460763931274,-0.767116904258728,-0.6898170113563538,-0.3724800646305084,-0.43053483963012695,-0.4054843485355377,-0.348125159740448,0.009656119160354137,-0.08409616351127625,-0.08485867828130722,-0.017313608899712563,0.38070935010910034,0.32436561584472656,0.283385306596756,0.3136637806892395,0.7491104006767273,0.7044366002082825,0.6129348278045654,0.5956629514694214,1.0,0.9513541460037231,0.4352354109287262,-0.11909639835357666,-0.5697281956672668,-0.3152436316013336,-0.677849292755127,-0.1307353377342224,0.20255246758460999,-0.3478032648563385,-0.6200063824653625,0.025723863393068314,0.29316622018814087,-0.2646532952785492,-0.4190472662448883,0.14679871499538422,0.3427656590938568,-0.1171778216958046,-0.26701584458351135,0.14040827751159668,0.31035706400871277,-5.137028892931994e-06,-0.22655047476291656,-0.3301784098148346,-0.4195801019668579,-0.46481215953826904,-0.12825211882591248,-0.38023531436920166,-0.4867747128009796,-0.5186699032783508,-0.12186677753925323,-0.3783498704433441,-0.40196552872657776,-0.3459458649158478,-0.1642196923494339,-0.4335380792617798,-0.3442002534866333,-0.20852017402648926,-0.22376565635204315,-0.3790520131587982,-0.2957818806171417,-0.18577654659748077
A,0.30016738176345825,-0.13259977102279663,-0.4326258897781372,-0.5132134556770325,-0.4879336953163147,-0.22352801263332367,-0.29846110939979553,-0.26897096633911133,-0.2183036208152771,0.004687816370278597,-0.07986236363649368,-0.05006168782711029,0.007236175239086151,0.23812653124332428,0.15700548887252808,0.15787826478481293,0.20335157215595245,0.48607009649276733,0.39074039459228516,0.36417168378829956,0.39612412452697754,1.0,0.8171297907829285,0.36341890692710876,-0.11181939393281937,-0.4770946204662323,-0.13796915113925934,-0.5015974044799805,-0.12244246900081635,0.13701961934566498,-0.16118475794792175,-0.4414278566837311,0.03439000993967056,0.21635983884334564,-0.1533948928117752,-0.4083021879196167,0.05455638840794563,0.24773463606834412,-0.09603308141231537,-0.350053071975708,-0.034253351390361786,0.12496473640203476,-4.163629455433693e-06,-0.11154580861330032,-0.15303589403629303,-0.20625039935112,-0.22337324917316437,0.04765671119093895,-0.1397561877965927,-0.22458958625793457,-0.2427603006362915,0.03824032098054886,-0.14920072257518768,-0.17010512948036194,-0.13074111938476562,-0.013063781894743443,-0.20581606030464172,-0.13744163513183594,-0.03160017728805542,-0.07776464521884918,-0.18540796637535095,-0.1257154494524002,-0.043274372816085815
A,0.3799345791339874,-0.0888458713889122,-0.43928471207618713,-0.5600186586380005,-0.5232281684875488,-0.24831578135490417,-0.35514402389526367,-0.28478386998176575,-0.20404265820980072,-0.013321400620043278,-0.12082133442163467,-0.03687981516122818,0.044073738157749176,0.23057618737220764,0.13244523108005524,0.1744091808795929,0.23972420394420624,0.4942866563796997,0.3956795632839203,0.3769017457962036,0.40665584802627563,1.0,0.8978283405303955,0.4777587354183197,-0.02973623014986515,-0.4119686782360077,-0.07370580732822418,-0.5080079436302185,-0.10328492522239685,0.17873966693878174,-0.13428546488285065,-0.47821754217147827,0.03273290768265724,0.25273942947387695,-0.17032143473625183,-0.5114098191261292,0.007312137633562088,0.2610502541065216,-0.15652607381343842,-0.4893016815185547,-0.1320444941520691,0.09065145999193192,-4.259086836100323e-06,-0.13018523156642914,-0.18072053790092468,-0.23809339106082916,-0.25373438000679016,0.010269168764352798,-0.18293161690235138,-0.2538914382457733,-0.25920936465263367,0.010486803948879242,-0.19777832925319672,-0.21992188692092896,-0.17458456754684448,-0.030063951388001442,-0.2445538341999054,-0.1711636781692505,-0.05367106944322586,-0.08464089035987854,-0.21567843854427338,-0.1606135368347168,-0.07555937767028809
A,0.41648706793785095,-0.05711950734257698,-0.42323940992355347,-0.5585845708847046,-0.541183352470398,-0.246944397687912,-0.3758362829685211,-0.3006897270679474,-0.2149737924337387,-0.012648496776819229,-0.1405351161956787,-0.048800915479660034,0.043435025960206985,0.23026493191719055,0.12410833686590195,0.17668114602565765,0.2540224492549896,0.4991098940372467,0.3897835910320282,0.37420472502708435,0.4124569892883301,1.0,0.9005662202835083,0.5055648684501648,0.008063697256147861,-0.3873598277568817,-0.08583153784275055,-0.51097172498703,-0.11306903511285782,0.1854265034198761,-0.14845599234104156,-0.48685139417648315,0.024896208196878433,0.26340001821517944,-0.19006988406181335,-0.5091985464096069,0.0068175215274095535,0.26691877841949463,-0.18202225863933563,-0.4986990988254547,-0.13799959421157837,0.0888717770576477,-3.941945124097401e-06,-0.13978181779384613,-0.19267065823078156,-0.25050488114356995,-0.2639313340187073,0.020109275355935097,-0.17354372143745422,-0.24571239948272705,-0.25009995698928833,0.023413747549057007,-0.19492553174495697,-0.2298777997493744,-0.18756626546382904,-0.015444532968103886,-0.24149097502231598,-0.1820070892572403,-0.06853621453046799,-0.06832356750965118,-0.2131187915802002,-0.1668270379304886,-0.08284987509250641
